factor,slider.response,my_rs,difference
size_manipulated,0.08425928,0.3975,0.31324072000000003
size_manipulated,0.175000014,0.415454545,0.240454531
size_manipulated,0.350000028,0.738636364,0.388636336
size_manipulated,0.189814815,0.469318182,0.279503367
size_manipulated,0.79814812,0.882272727,0.08412460700000002
size_manipulated,0.150925919,0.307727273,0.15680135400000003
size_manipulated,0.998148176,0.99,-0.00814817600000006
standard_plot,0.883333418,0.954090909,0.07075749100000006
size_manipulated,0.523148148,0.864318182,0.341170034
standard_plot,0,0.217954545,0.217954545
standard_plot,0.014814836,0.630909091,0.616094255
standard_plot,0.024074095,0.307727273,0.283653178
size_manipulated,0.266666695,0.612954545,0.34628785
size_manipulated,0.234259288,0.577045455,0.34278616700000003
size_manipulated,0.404629672,0.630909091,0.22627941900000004
standard_plot,0.475000028,0.828409091,0.353409063
standard_plot,0.109259252,0.325681818,0.216422566
standard_plot,0.056481503,0.361590909,0.305109406
size_manipulated,0.11851851100000001,0.325681818,0.207163307
standard_plot,0.047222243,0.289772727,0.242550484
standard_plot,0.974074046,0.99,0.01592595399999996
size_manipulated,0.693518533,0.684772727,-0.00874580599999996
standard_plot,0.10555557,0.343636364,0.23808079400000004
size_manipulated,0.475000028,0.7925,0.31749997199999996
standard_plot,0.424074102,0.810454545,0.386380443
standard_plot,0.300925926,0.702727273,0.401801347
standard_plot,0.48055557,0.7925,0.31194443
standard_plot,0.126851859,0.523181818,0.3963299589999999
standard_plot,0.298148191,0.720681818,0.422533627
standard_plot,0.527777778,0.774545455,0.246767677
size_manipulated,0.895370342,0.918181818,0.02281147599999999
standard_plot,0.813888974,0.936136364,0.12224738999999996
standard_plot,0.361111111,0.541136364,0.180025253
standard_plot,0.107407429,0.559090909,0.45168348
size_manipulated,0.158333355,0.541136364,0.382803009
size_manipulated,0.812962991,0.900227273,0.08726428200000003
size_manipulated,0.709259245,0.702727273,-0.00653197199999999
size_manipulated,0.768518519,0.828409091,0.05989057200000003
standard_plot,0.043518526,0.235909091,0.192390565
standard_plot,0.645370413,0.864318182,0.218947769
size_manipulated,0.109259252,0.289772727,0.180513475
size_manipulated,0.699074074,0.846363636,0.14728956199999998
size_manipulated,0.142592607,0.451363636,0.308771029
standard_plot,0.829629686,0.972045455,0.14241576899999997
standard_plot,0.028703725,0.2,0.171296275
standard_plot,0.037037037,0.451363636,0.414326599
standard_plot,0.374444444,0.469318182,0.094873738
standard_plot,0.926666667,0.954090909,0.02742424200000004
size_manipulated,0.455555556,0.523181818,0.06762626199999999
standard_plot,0.695555556,0.702727273,0.00717171700000007
size_manipulated,0.517777778,0.415454545,-0.102323233
